epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,3304.29,1.49217,0.8057,1.28388,0.87695,0.77642,0.85028,0.39656,1.84313,0.92917,1.61671,0.000387994,0.000387994,0.000387994
157,3325.41,1.51776,0.84247,1.3107,0.88139,0.7856,0.85078,0.4079,1.81053,0.93797,1.5832,0.000379743,0.000379743,0.000379743
158,3346.44,1.52775,0.84628,1.31914,0.89219,0.80245,0.86346,0.40741,1.81896,0.91254,1.59949,0.000371491,0.000371491,0.000371491
159,3365.43,1.5241,0.81639,1.30975,0.88738,0.7856,0.85062,0.40559,1.82303,0.92221,1.59162,0.000363239,0.000363239,0.000363239
160,3386.9,1.52359,0.82809,1.30606,0.89105,0.78902,0.85019,0.40899,1.82273,0.9038,1.58966,0.000354988,0.000354988,0.000354988
161,3407.74,1.50785,0.82393,1.28487,0.88114,0.80605,0.86008,0.41527,1.80193,0.90755,1.57769,0.000346736,0.000346736,0.000346736
162,3429.31,1.4964,0.82729,1.30096,0.87684,0.80398,0.86021,0.41064,1.7973,0.90995,1.57988,0.000338484,0.000338484,0.000338484
163,3450.86,1.47766,0.80402,1.29098,0.88132,0.7856,0.85674,0.40634,1.82361,0.92584,1.59466,0.000330233,0.000330233,0.000330233
164,3471.18,1.48382,0.79593,1.29152,0.87437,0.79632,0.8522,0.40896,1.82555,0.92316,1.593,0.000321981,0.000321981,0.000321981
165,3492.15,1.51542,0.81198,1.29336,0.8859,0.78254,0.86393,0.40572,1.82721,0.90751,1.59723,0.000313729,0.000313729,0.000313729
166,3512.81,1.50026,0.81011,1.30022,0.88451,0.79479,0.86544,0.41046,1.82401,0.89248,1.59772,0.000305478,0.000305478,0.000305478
167,3532.47,1.50338,0.78784,1.27368,0.87972,0.7952,0.86276,0.40464,1.83821,0.89597,1.6045,0.000297226,0.000297226,0.000297226
168,3553.83,1.48395,0.80323,1.29866,0.87584,0.79936,0.8642,0.41075,1.81346,0.89974,1.58114,0.000288974,0.000288974,0.000288974
169,3574.55,1.52258,0.82937,1.29751,0.88687,0.79237,0.86674,0.41274,1.80913,0.89278,1.59757,0.000280723,0.000280723,0.000280723
170,3594.26,1.48584,0.79102,1.28184,0.88257,0.80092,0.863,0.40971,1.82035,0.91682,1.58524,0.000272471,0.000272471,0.000272471
171,3615.6,1.53785,0.83355,1.32711,0.89644,0.80865,0.86861,0.41329,1.80407,0.90513,1.59755,0.00026422,0.00026422,0.00026422
172,3635.84,1.46595,0.79632,1.29721,0.86855,0.8193,0.8699,0.4055,1.83786,0.90581,1.62227,0.000255968,0.000255968,0.000255968
173,3655.43,1.47441,0.79848,1.28653,0.87267,0.79786,0.85028,0.40858,1.82743,0.89027,1.61384,0.000247716,0.000247716,0.000247716
174,3677.08,1.46042,0.78812,1.28045,0.89405,0.80398,0.8583,0.40692,1.83253,0.88465,1.62024,0.000239465,0.000239465,0.000239465
175,3697.15,1.46294,0.78482,1.27023,0.87721,0.79864,0.84786,0.40826,1.82974,0.89537,1.61978,0.000231213,0.000231213,0.000231213
176,3717.53,1.43766,0.75794,1.25942,0.89921,0.80245,0.86397,0.40876,1.82046,0.87183,1.61628,0.000222961,0.000222961,0.000222961
